Year;Carbon Dioxide;Fertilizer Consumption;Forest Area;Temperature Anomaly
1990;354;161993077;4236433019;0.45
1991;355;159437415;4228594630;0.41
1992;356;150741443;4220756240;0.22
1993;357;145521388;4212917849;0.23
1994;359;147085441;4205079460; 0.32
1995;361;155120841;4197241070; 0.45
1996;363;159394070;4189402680; 0.33
1997;364;161414664;4181564290;0.46
1998;367;162029168;4173725900;0.61
1999;369;164361395;4165887510;0.38
2000;370;161338804;4158049120;0.39
2001;371;163281998;4152875850;0.54
2002;373;167465489;4147702570;0.63
2003;376;172811392;4142529290; 0.62
2004;378;180224281;4137356010;0.54
2005;380;178191314;4132182740;0.67
2006;382;185968467;4127009460;0.64
2007;384;188290162;4121836180;0.67
2008;386;175138654;4116662910; 0.54
2009;388;186551587;4111489630;0.66
2010;390;195971210;4106316350;0.72
2011;391;202587552;4101830050;0.61
2012;394;205456670;4097340160;0.65
2013;396;209966285;4092850260;0.68
2014;398;210467185;4088360370;0.75
2015;401;213272404;4083870480;0.90
2016;404;215131126;4078883140;1.02
2017;406;217420963;4073895810;0.92
2018;408;213765516;4068908480;0.85
