Year	pram1	pram2	pram3	pram4
1990	0.3	0.53	0.16	0.05
1991	0.27	0.52	0.18	0.06
1992	0.15	0.48	0.2	0.07
1993	0.15	0.45	0.22	0.08
1994	0.21	0.46	0.24	0.11
1995	0.3	0.5	0.26	0.13
1996	0.22	0.52	0.28	0.15
1997	0.31	0.53	0.3	0.16
1998	0.41	0.53	0.32	0.2
1999	0.25	0.54	0.34	0.22
2000	0.26	0.53	0.35	0.24
2001	0.36	0.54	0.37	0.25
2002	0.42	0.56	0.38	0.27
2003	0.41	0.58	0.39	0.31
2004	0.36	0.62	0.41	0.33
2005	0.45	0.61	0.42	0.35
2006	0.43	0.65	0.43	0.38
2007	0.45	0.66	0.45	0.4
2008	0.36	0.6	0.46	0.42
2009	0.44	0.65	0.47	0.45
2010	0.48	0.7	0.48	0.47
2011	0.41	0.73	0.5	0.48
2012	0.43	0.74	0.51	0.52
2013	0.45	0.76	0.52	0.54
2014	0.5	0.76	0.53	0.56
2015	0.6	0.78	0.54	0.6
2016	0.68	0.79	0.55	0.64
2017	0.61	0.8	0.57	0.66
2018	0.57	0.78	0.58	0.68
